TID,KR,EN,TW,JP
GUILDWAR_REMAIN_CNT,공격기회\n%d/%d,Chance\n%d/%d,攻擊機會\n%d/%d,
GUILDWAR_SAVE_FAIL_MSG,저장 실패.,Save failed.,儲存失敗。,
GUILDWAR_SAVE_SUCCESS_MSG,저장 완료,Save complete,儲存完成。,
GUILDWAR_SELECT_3_MSG,용 3마리를 모두 선택해주세요.,Select 3 dragons,請選擇所有 3 隻龍。,
GUILDWAR_SELECT_ALL_MSG,드래곤을 모두 선택해주세요.,Select dragons and fill in all the slots,請選擇所有龍。,
GUILDWAR_SETTING_FAIL_MSG,길드 배치를 할 수 없습니다.,You cannot deploy the members,無法設置公會佈局。,
GUILDWAR_SETTING_FAIL_TIME_MSG,길드 배치 시간이 아닙니다.,This is not a time for deployment,目前不是設置公會佈局的時間。,
GUILDWAR_SHOP_TITLE_0,길드 뽑기,Guild Dragon Draw,公會抽卡,
GUILDWAR_TITLE,길드전,Guild War,公會戰,
hallOfFame,명예의 전당,Hall of Fame.,榮譽殿堂,
Halloween_DragonName,페르마타,Perumata,斐爾瑪塔,
Halloween_SearchDia_0,x%d 지금 찾기,x%d Find Now,x%d 現在尋找,
Halloween_SearchDia_1,다이아 %d개를 사용하여 바로 찾으시겠습니까?,Pay %d Diamonds to find target now?,您是否要使用 %d 顆鑽石立即尋找？,
Halloween_Tutorial_0,큰일이야! 유타칸에 호박 귀신이 나타났다고 해!,Pumpkin ghost appeared in Utahkahn!,糟糕！據說在尤塔勘出現了南瓜鬼！,
Halloween_Tutorial_1,어디선가 많이 보던 모습같지만 호박 귀신이라고 한다는데?,It looks very familiar but .... well people call them Pumpkin ghost !,看起來像是在哪裡見過的樣子，但據說是南瓜鬼？,
Halloween_Tutorial_2,그걸 따질때가 아냐! 마주치는 사람들한테 호박을 집어 던지면서 온갖 장난을 쳐서 큰일이라구!,It is not a time to find out what it is!! They throw pumkins to the people of Utahkahn and trick them ! It is a mess!!!,現在不是討論的時候！牠們對遇到的人丟南瓜並惡作劇，真的很麻煩！,
Halloween_Tutorial_3,뭐? 나보다 큰 호박이잖아! 그런걸 던지면 어떡해?,What??? That pumpkin is bigger than me!!!  Why did you do that for ?,什麼？比我還大的南瓜！怎麼可以丟那種東西？,
Halloween_Tutorial_4,누군가 크게 다칠지도 모르겠어! 어서 퇴치하고 올게!,Somebody will get hurt .... Hurry! Let's go and defeat them !!,誰知道會不會有人受傷！我趕緊去擊退牠們！,
Halloween_UI_0,호박귀신 4명을 퇴치할 때마다,Earn,每擊退 4 隻南瓜鬼,
Halloween_UI_1,를 드려요!,for defeating of every 4 pumpkin ghost!,將會送給您！,
Halloween_UI_2,현재 퇴치 숫자,Defeat,當前擊退數量,
Halloween_UI_3,%d,%d,%d,
Halloween_UI_4,호박귀신을 1명 이상 퇴치하면 3시간마다 선물을 드려요!,"When you defeat more than 1 pumpkin ghost, you will be rewarded in every 3 hours!",击退 1 隻或更多南瓜鬼後，每 3 小時將會送您禮物！,
Halloween_UI_5,찾기,Search,尋找,
Halloween_UI_6,선물,Present,禮物,
heal,체력 회복!!,Healed!!,恢復體力!!,
healMsg,체력 회복!!\n%d만큼 체력을 회복 했다.,Healed!!\n%d HP has been recovered.,恢復體力!!\n%d,
healthMsg,<red>피로도</red>가 부족합니다.\n피로도는 3분마다 1씩 회복됩니다.,Not enough <red>Fatigue</red>.\nFatigues recovers every 3 minutes.,<red>疲勞度</red>不足。\n疲勞度每3分鐘恢復1點。,
helpInfo,도움말,Help,協助,
hide,매복,Ambush,埋伏,
highbrowEmail,E-mail(실제 이메일 주소),E-mail(Actual email address),E-mail(實際信箱地址),
highbrowID,ID(최대 30자),ID(Maximum 30 letters),ID(最多30個字),
highbrowNickname,닉네임,NICKNAME,NICKNAME/暱稱,
HJ_TEXT0,승리,Win,Win,
HJ_TEXT1,패배,Lose,Lose,
HJ_TEXT2,1. 각 드래곤은 3일의 세팅 기간과 2일의 전투 기간을 가집니다.,1. Every dragon has 3 days for set and 2 days for battle.,1. Every dragon has 3 days for set and 2 days for battle.,
HJ_TEXT3,2. 세팅 기간에는 보유한 포인트로 자유롭게 드래곤의 스탯을 수정할 수 있습니다.,"2. During setting, tamers can adjust their dragon with point.","2. During setting, tamers can adjust their dragon with point.",
HJ_TEXT4,3. 전투 기간이 되면 더이상 해당 드래곤의 스탯은 변경할 수 없게되며\n HJ브로의 드래곤의 스탯이 공개됩니다.,"3. If times up, tamers cannot adjust the dragon\n and HJ Bro's dragon will be revealed.","3. If times up, tamers cannot adjust the dragon\n and HJ Bro's dragon will be revealed.",
HJ_TEXT5,4. 젬과 물약을 자유롭게 세팅한 후 HJ브로의 드래곤과 대결을 펼쳐보세요.,"4. Set your gem and potion, start battle with HJ Bro's dragon.","4. Set your gem and potion, start battle with HJ Bro's dragon.",
HJ_TEXT6,5. 전투 기간이 종료된 후 승률에 따라 참가자에게 보상을 지급합니다.,5. All participents will be rewarded by winning rate after the event is over.,5. All participents will be rewarded by winning rate after the event is over.,
HJ_TEXT7,6. 전투에 참가하지 않으면 보상을 받을 수 없으니 주의하시기 바랍니다.,6. Only tamers that joined can receive reward.,6. Only tamers that joined can receive reward.,
HJ_TEXT8,<cyan>승리 조건</cyan> : 유저 승률이 49% 초과일 때,<cyan>Condition of victory</cyan>: Winning rate 49% over,<cyan>Condition of victory</cyan>: Winning rate 49% over,
HJ_TEXT9,<red>패배 조건</red> : 유저 승률이 49% 이하일 때,<red>Condition for lose</red>: Winning rate 49% and under,<red>Condition for lose</red>: Winning rate 49% and under,
HJ_TEXT10,세팅된 드래곤 정보가 없어 전투를 진행할 수 없습니다.,There is no Dragon information set to proceed battle.,There is no Dragon information set to proceed battle.,
HJ_TEXT11,남은 포인트,Remained Point,Remained Point,
HJ_TEXT12,포인트를 모두 사용해 주세요.,Please use all points.,Please use all points.,
HJ_TEXT13,비정상적인 능력치 입니다.,Abnormal ability.,Abnormal ability.,
HJ_TEXT14,HJ브로,HJbrow,HJbrow,
HJ_TEXT15,유저,User,User,
HJ_TEXT16,이벤트기간 : %s,Event period : %s,Event period : %s,
HJ_TEXT17,세팅기간 : %s,Setting Period : %s,Setting Period : %s,
HJ_TEXT18,전투기간 : %s,Battle Period : %s,Battle Period : %s,
HJ_TEXT19,<cyan>승리 보상</cyan> : 참가자 전원에게 해당 드래곤의 알 지급,<cyan>Win reward</cyan>: Dragon's egg for all participants.,<cyan>Win reward</cyan>: Dragon's egg for all participants.,
HJ_TEXT20,"<red>패배 보상</red> : 참가자 중 ‘가장 패배가 많은’ 인원 1명에게\n 해당 드래곤의 알 지급, 패키지 판매",<red>Lose reward</red>: Tamer MOST lose will receive dragon's egg\n and pack will be sold.,<red>Lose reward</red>: Tamer MOST lose will receive dragon's egg\n and pack will be sold.,
HJ_TEXT21,<red>*셋팅 대상 드래곤은 테이머의 드래곤입니다.\n HJ브로의 드래곤이 아니니 주의하시기 바랍니다.</red>,<red>*Caution! Setting Dragons are Tamers dragon.\n Not HJ Bro's Dragon. So be careful</red>,<red>*Caution! Setting Dragons are Tamers dragon.\n Not HJ Bro's Dragon. So be careful</red>,
hjbrow_name,HJ브로,HJbro.,HJbro.,
HJbrowEventHint_0_0,힌트가 없습니다.,Hint is not available.,Hint is not available.,
HJbrowEventHint_0_1,힌트 준비중,Hint will be available soon.,Hint will be available soon.,
HJbrowEventHint_0_2,※ 새로운 힌트는 매일 낮 12시에 공개됩니다.,※ New hint revealed everyday 12:00 PM. (GMT +9),※ New hint revealed everyday 12:00 PM. (GMT +9),
HJbrowEventHint_0_3,※ 각 출석 보상은 한 번만 획득 가능합니다.,※ You can earn each attendance reward only once.,※ You can earn each attendance reward only once.,
HJbrowEventHint_1_0,구속영장,Arrest Warrant,Arrest Warrant,
HJbrowEventHint_1_1,아빌라,Avila,Avila,
HJbrowEventHint_1_2,프랑스 카르카손,French Carcassonne,French Carcassonne,
HJbrowEventHint_1_3,해골과 부하,Skeleton and its follower,Skeleton and its follower,
HJbrowEventHint_1_4,작은오락,Small play,Small play,
HJbrowEventHint_1_5,LV.28,LV.28,LV.28,
HJbrowEventHint_1_6,사악한 기운,Evil spirit,Evil spirit,
HJbrowEventHint_1_7,max 200,max 200,max 200,
HJbrowEventHint_1_8,깊고 어두운 곳,Deep and dark place,Deep and dark place,
HJbrowEventHint_1_9,땅 속의 성채,Castle under the ground,Castle under the ground,
HJbrowEventHint_1_10,타이밍 싸움,It is all about timing!,It is all about timing!,
HJbrowEventHint_1_11,30층 미만,Under 30th floor,Under 30th floor,
HJbrowEventHint_1_12,멀가중멀중가중,Far-close-median-far-median-close-median,Far-close-median-far-median-close-median,
HJbrowEventHint_2_0,플라비우스,Flavius,Flavius,
HJbrowEventHint_2_1,파스칼,Pascal,Pascal,
HJbrowEventHint_2_2,로마,Rome,Rome,
HJbrowEventHint_2_3,산수,Math,Math,
HJbrowEventHint_2_4,러셀크로우,Russell Crowe,Russell Crowe,
HJbrowEventHint_2_5,자동 방지,Prevent automation,Prevent automation,
HJbrowEventHint_2_6,반복 금지,Cannot be repeated,Cannot be repeated,
HJbrowEventHint_2_7,전투가 아님,Not a battle,Not a battle,
HJbrowEventHint_2_8,오답이 정답,What is wrong is the answer,What is wrong is the answer,
HJbrowEventHint_2_9,4자리,4 digit,4 digit,
HJbrowEventHint_2_10,번지수,Address code,Address code,
HJbrowEventHint_3_0,OOO,OOO,OOO,
HJbrowEventHint_3_1,BB탄,BB bullet,BB bullet,
HJbrowEventHint_3_2,모든 걸 잃는 실패,Failure that cost everything,Failure that cost everything,
HJbrowEventHint_3_3,1+1+1=1,1+1+1=1,1+1+1=1,
HJbrowEventHint_3_4,"손오천, 트랭크스","Son Goten, Trunks","Son Goten, Trunks",
HJbrowEventHint_3_5,새로운 생명,New life,New life,
HJbrowEventHint_3_6,3월 1일 출시 드래곤,Dragon that released on March 1st,Dragon that released on March 1st,
HJbrowEventHint_3_7,축제의 주인공,Center of the festival,Center of the festival,
HJbrowEventHint_3_8,13탄,13th series,13th series,
HJbrowEventSearch0,발견 가능,Available,Available,
HJbrowEventSearch1,%s부터 발견 가능,Available from %s,Available from %s,
HJbrowEventSearch2,%s부터 발견 가능,Available from %s,Available from %s,
HJbrowEventSucess,발견 완료!,Found!,Found!,
HJbrowEventSucess_0_0,"호오... 정말 알을 찾아냈구만, 크크크.",Oh ... You really found one !,Oh ... You really found one !,
HJbrowEventSucess_0_1,"자, 어서 이벤트 버튼을 눌러봐. 알을 찾아낸 네게 제안할 것이 하나 있지......",5. Every rewards will be sent after the event period.,5. Every rewards will be sent after the event period.,
HJbrowEventSucess_0,크크크... 현질로 만나자고.,Now others only can meet them with purchasement ... hahahahaha!!,Now others only can meet them with purchasement ... hahahahaha!!,
HJbrowEventSucess_1,"흥, 착한 척하긴. 공짜로 뿌리다니.","Booo, You really want them to be free??","Booo, You really want them to be free??",
HJbrowEventSucess_1_0,HJ브로의 제안,Suggestion of HJbro.,Suggestion of HJbro.,
HJbrowEventSucess_1_1,내가 특별한 보상을 줄테니 그 알을 내게 다시 넘기는건 어때?,I will give you a special rewards just for you... So how about handing me that egg again?,I will give you a special rewards just for you... So how about handing me that egg again?,
HJbrowEventSucess_1_2,"아, 물론 너는 가질 수 있지. 그것도 레벨과 단계도 선택해서 말야.","Of course you can have it, and choose its level and grade also.","Of course you can have it, and choose its level and grade also.",
HJbrowEventSucess_1_3,하지만 다른 사람들은 패키지로 구매해야겠지... 크크크크.,but .... others ... they have to purchase package if they want that egg... hahahaha!,but .... others ... they have to purchase package if they want that egg... hahahaha!,
HJbrowEventSucess_1_4,이벤트 기간 내로 선택하지 않으면 보상 없이 패키지로\n팔아버릴테니 명심해.,"If you do not make up your mind, you will get no rewards and I will decide to sell it as a package!","If you do not make up your mind, you will get no rewards and I will decide to sell it as a package!",
HJbrowEventSucess_1_5,수락 (결과보기),Accept (result),Accept (result),
HJbrowEventSucess_1_6,거절 (결과보기),Refuse (result),Refuse (result),
HJbrowEventSucess_2_0,HJ브로의 제안을 수락하시겠습니까?,Would you liket to accept the suggestion of HJbro.?,Would you liket to accept the suggestion of HJbro.?,
HJbrowEventSucess_2_1,결과,Result,Result,
HJbrowEventSucess_2_2,1000 다이아 획득,Earned 1000 diamonds,Earned 1000 diamonds,
HJbrowEventSucess_2_3,"%s 등급, 레벨 선택권 획득","Earned %s Grade, Lv choice ticket","Earned %s Grade, Lv choice ticket",
HJbrowEventSucess_2_4,%s 패키지 판매\n%s 게임 내에서 획득 불가,Sell %s package\n%s No longer available in game,Sell %s package\n%s No longer available in game,
HJbrowEventSucess_2_5,HJ브로의 제안을 거절하시겠습니까?,Would you like to refure the suggestion of HJbro.?,Would you like to refure the suggestion of HJbro.?,
HJbrowEventSucess_2_6,%s 알 획득,Earn %s egg,Earn %s egg,
HJbrowEventSucess_3_0,이벤트 출석 5일차\n모든 유저 %s 알 획득,Tamers who completed 5th day\nof event attendance earns %s egg,Tamers who completed 5th day\nof event attendance earns %s egg,
HJbrowEventSucess_3_1,%s 게임 내에서 획득 가능,%s Available in game,%s Available in game,
HJbrowEventSucess_3_2,HJ브로의 제안을 거절하였습니다.,You have refused HJbro.'s suggestion.,You have refused HJbro.'s suggestion.,
HJbrowEventSucess_3_3,HJ브로의 제안을 수락하였습니다.,You have accepted HJbro.'s suggstion.,You have accepted HJbro.'s suggstion.,
HJbrowEventSucess_3_4,보상은 이벤트가 종료된 후 지급됩니다.,Rewards will be sent to you after the event period.,Rewards will be sent to you after the event period.,
HJbrowEventSucess_3_5,%s 결과공개,%s Result open,%s Result open,
HJbrowEventTutorial_0,크크... 반갑군 테이머 여러분.\n내 이름은 HJ브로라고 하지. 아마 영상을 본 사람들은 다 알거야.,"Hahaha... Hello tamers. My name is HJbro.\nIf you saw the clip, you would be familiar of me.","Hahaha... Hello tamers. My name is HJbro.\nIf you saw the clip, you would be familiar of me.",
HJbrowEventTutorial_1,난 자네들의 경각심을 일깨워주기 위해 찾아왔지.,I am here to rise your awareness today.,I am here to rise your awareness today.,
HJbrowEventTutorial_2,드래곤을 전혀 소중하게 대하지 않는 당신들의 태도를 말이야.,Your have not treat your dragon well enough!,Your have not treat your dragon well enough!,
HJbrowEventTutorial_3,"그래서 내가 게임을 하나 준비했지.\n내가 숨긴 드래곤의 알은 3개, 테이머 여러분이 찾아야 하는 알도 3개.",So I prepared a game.\nI hide 3 dragon eggs that you need to find.,So I prepared a game.\nI hide 3 dragon eggs that you need to find.,
HJbrowEventTutorial_4,"이벤트 기간이 끝나기 전까지 이 알을 찾을 수 있다면,\n여러분의 열의에 감복해 앞으로 그 알을 유타칸에서 얻을 수 있게 하겠어.",I promise you to set these eggs free to Utahkhan IF you could find\nthese eggs before the event ends.,I promise you to set these eggs free to Utahkhan IF you could find\nthese eggs before the event ends.,
HJbrowEventTutorial_5,하지만 알을 찾지 못한다면...\n패키지로밖에 만나지 못하겠지. 크크크...,If you fail to find them....\nYou will only can meet them with packages .... hahahaha,If you fail to find them....\nYou will only can meet them with packages .... hahahaha,
HJbrowEventTutorial_6,부디 내가 마련한 작은 게임을 통해\n드래곤을 소중히 대해야 한다는 사실을 깨달았으면 좋겠군.,I wish you to aware the importance of your dragons and learn to treat them well.,I wish you to aware the importance of your dragons and learn to treat them well.,
HJbrowEventTutorial_7,"자, 이제 게임을 시작해 볼까?",Well ... Shell we start then ?,Well ... Shell we start then ?,
HJbrowEventUI_0_0,HJ브로의 게임,HJbro.'s game,HJbro.'s game,
HJbrowEventUI_1_1,일로스,Eelos,Eelos,
HJbrowEventUI_1_2,렉스톤,Rexton,Rexton,
HJbrowEventUI_1_3,포메쿨,Pomekle,Pomekle,
HJbrowEventUI_1_4,이벤트기간 : 8/1 ~ 8/15,Event period : 8/1 ~ 8/15 (GMT +9),Event period : 8/1 ~ 8/15 (GMT +9),
HJbrowEventUI_1_5,"※ 모든 이벤트 결과 및 보상은 이벤트 기간이 종료된 후 발표, 지급됩니다.\n※ 모든 드래곤은 Lv+1 아이템 사용 및 코드화가 가능합니다.",※ Result of the event and rewards will be announced and sent after the event period.\n※ Every dragon is available to use Lv+1 item and codeable.,※ Result of the event and rewards will be announced and sent after the event period.\n※ Every dragon is available to use Lv+1 item and codeable.,
HJbrowEventUI_1_8,힌트,Hint,Hint,
HJbrowEventUI_1_9,발견 현황,Status,Status,
HJbrowEventUI_2_1,HJ브로의 출석 이벤트,Check-in event of HJbro.,Check-in event of HJbro.,
HJbrowEventUI_2_2,%d일차,Day:%d,Day:%d,
HJbrowEventUI_2_9,출석,Attendance,Attendance,
HJbrowEventUI_3_0,1. 각 드래곤의 알은 유타칸 어딘가에 숨겨져 있다.,1. Each dragon egg is hidden in Utahkhan.,1. Each dragon egg is hidden in Utahkhan.,
HJbrowEventUI_3_1,2. 누군가 드래곤의 알을 찾으면 그때부터 해당 드래곤의 알은 더이상 찾을 수 없다.,"2. If someone find certain dragon egg, that egg is no longer available to find.","2. If someone find certain dragon egg, that egg is no longer available to find.",
HJbrowEventUI_3_2,3. 알을 찾아낸 자에게는 HJ브로가 다시 등장에 한가지 제안을 한다.,3. HJbro. appears to make another offer to the one who find the egg.,3. HJbro. appears to make another offer to the one who find the egg.,
HJbrowEventUI_3_3,수락,Accept,Accept,
HJbrowEventUI_3_4,"1000다이아와 해당 드래곤\n레벨, 등급 선택권 획득. 이후\n다른 테이머는 패키지로만 알을\n얻을 수 있다.",Earned 1000diamonds / Lv grade choose ticket of the dragon you found. Other tamers can earn this egg only from package.,Earned 1000diamonds / Lv grade choose ticket of the dragon you found. Other tamers can earn this egg only from package.,
HJbrowEventUI_3_5,거절,Refuse,Refuse,
HJbrowEventUI_3_6,발견자와 이벤트 출석을 완료한\n모든 테이머는 해당 드래곤의 알\n획득. 이후 해당 드래곤은 인게임\n내에서 획득할 수 있게 된다.,"Finder, and perfect attendance tamer earns this dragon egg. This dragon is now available to obtrain in game.","Finder, and perfect attendance tamer earns this dragon egg. This dragon is now available to obtrain in game.",
HJbrowEventUI_3_7,4. 매일 낮 12시에 알이 숨겨진 곳의 힌트가 밝혀진다.,4. Hint of hidden place reveals everyday 12:00 PM (GMT +9).,4. Hint of hidden place reveals everyday 12:00 PM (GMT +9).,
HJbrowEventUI_3_8,"규칙 설명\n1. 이벤트 기간 중 전투 시간[오후 6:00 ~ 자정 00:00] 동안 일반 토너먼트 점수를 기록합니다. \n2.전투시간 동안에는 입장비용이 무료입니다.\n3.점수는 토너먼트 참가시 1점, 8강 승리시 5점, 4강 승리시 10점, 우승시 20점을 획득합니다. [우승자는 총 36점 획득]\n4. 이벤트가 종료된 후 랭킹에 따라 참가자에게 보상을 지급합니다.\n* 순위가 같다면 먼저 달성한 테이머가 우선순위를 가집니다. \n* 전투에 참가하지 않으면 보상을 받을 수 없으니 주의 바랍니다. ",5. Every rewards will be sent after the event period.,5. Every rewards will be sent after the event period.,
HJbrowEventUI_3_9,HJ브로의 약속,Promise of HJbro.,Promise of HJbro.,
honor1,진짜 싸움꾼,Real Fighter,真正的決鬥者,
honor2,모두 다 덤벼!,Bring it on!,一起上吧!,
honor3,도전? 도전!,Challenger!!,挑戰? 挑戰!,
honor4,우정에 금이간...,What about friendship,友情碎裂...,
honor5,지고는 못 살아,Can't stand losing,寧死不屈,
honor6,전쟁 밖에 몰라,Warrrr!!!!,只有戰爭,
honor7,우리편 이겨라!,Havoc!,勝利在望!,
honor8,싸움은 싫어...,Tactician,我討厭戰鬥...,
honor9,진영을 위하여,For Honor!,為了我們的陣營,
honor10,질 수도 있지...,Defeated!,總有輸的時候..,
honor11,모든 걸 다줄게,Presents!!,我給你一切,
honor12,많을 수록...,More the better,越多越...,
honor13,방구석은 이제 그만,Get some air!,出來喘喘氣吧,
honor14,,,,
honor15,,,,
honor16,피부에 좋은?,Skin Food,對皮膚好的?,
honor17,까불면 맞는다,Watch it dude!,亂七八糟的…小心我揍你,
honor18,친구들아 도와줘,HELP~,朋友，幫幫我吧,
honor19,이까짓거 쯤이야...,Too easy!,易如反掌…,
honor20,힘을 모아모아,PowerRangers,聚集力量,
honor21,욕심쟁이 우후훗,Greedy Grabber,你太貪心了,
honor22,전설의 테이머,Legendary Tamer,傳奇馴龍者,
honor23,사랑은 방울방울,Love Love Love,愛的泡泡,
honor24,카드콜렉터,Card Collector,卡牌收集者,
honor25,드래곤 승천,Ascend Dragons,神龍升天,
honorCate1,PVP,PVP,PVP,
honorCate2,전쟁,War,戰爭,
honorCate3,소셜,Social,社區,
honorCate4,탐험,Adventure,冒險,
honorCate5,육성,Foster,成長,
honorComment1,바람 속성 드래곤으로\n개인전 승리,Win 1:1 with\nWind type,用風屬性的神龍\n在個人戰中獲勝,
honorComment2,랭크 10위 안의 유저와\n대결에서 승리,Win battle against \n top 10 rankers.,擊敗排名前10位的玩家,
honorComment3,토너먼트에서\n승리하기,Win\nin the tournament,錦標賽中獲勝,
honorComment4,친구와의 대결에서\n승리하기,Win battle\nagainst friends,擊敗好友,
honorComment5,개인전에서\n연속 승리하기,Win 1:1 \nconsecutively,在個人戰連勝,
honorComment6,전쟁에\n참여하기,Participate \nin the war,參與戰爭,
honorComment7,자신의 진영이\n승리,Win the war,本陣營勝利,
honorComment8,종류에 상관없이\n함정 설치,Setup Traps,無視種類\n放置陷阱,
honorComment9,전쟁 중\n상대 진영 킬,Stack Kills \nduring war,戰爭中\n擊敗對方陣營玩家,
honorComment10,자신의 진영\n패배,Lose the war,本陣營\n敗北,
honorComment11,매일 친구에게\n정기 보내기,Send elements\nto friends,每天送好友\n元素,
honorComment12,많은 친구\n사귀기,Make lots of \nfriends,結交\n好友,
honorComment13,매일 친구의동굴\n놀러가기,Visit friend's \n cave,每天去朋友的洞穴\n玩耍,
honorComment14,,,,
honorComment15,,,,
honorComment16,종류에 상관없이\n모든 음식 먹기,Eat food regardless \nof type,不管種類\n吃所有東西,
honorComment17,보스를 크리티컬로\n마무리,End boss fights \nwith a critical,以致命一擊\n收拾王怪,
honorComment18,지하성채에서 패배 후\n도움 받기,Get help from\nfriends after defeat,末日皇城敗退後\n得到協助,
honorComment19,버프 없이 다크닉스\n3:1전투 승리,Beat Darknix\nwithout buffs,達靈斯沒有增益效果\n3:1戰鬥中獲勝,
honorComment20,레이드 전투에서\n승리,Win Raid battle,在團隊戰鬥中獲勝,
honorComment21,드래곤의 알\n모으기,Collect \ndragon eggs,收集龍蛋,
honorComment22,풀스탯 드래곤\n부화,Hatch full stat\ndragons,孵化滿屬性神龍,
honorComment23,드래곤\n교배하기,Breed\ndragons,交配神龍,
honorComment24,오프라인 카드\n스페셜 드래곤 얻기,Collect offline\ncard dragons,獲得離線卡\n特殊神龍,
honorComment25,드래곤\n승천하기,Ascend\nDragon,讓神龍升天,
honorLevelUp,%s 업적을 100%% 달성하여\n레벨이 올랐습니다.,%s\nachievement reached 100%\nLeveled up!,%s 達成100%成就\n您升級了。,
honorTitle,칭호:,Title:,稱號:,
honorTitle1_1,,,,
honorTitle1_2,,,,
honorTitle1_3,바람의파이터,Fighter,迅風鬥士,
honorTitle1_4,폭풍의 검객,Stormbringer,暴風劍客,
honorTitle1_5,태풍의 마신,Typhoon,颱風魔神,
honorTitle10_1,,,,
honorTitle10_2,,,,
honorTitle10_3,지지리 운도없는,Murphy &,倒霉鬼,
honorTitle10_4,무념무상의,Transcend,無念無想,
honorTitle10_5,현자,Sage,賢者,
honorTitle11_1,,,,
honorTitle11_2,,,,
honorTitle11_3,아낌없이 주는,Generous,寬裕,
honorTitle11_4,다! 가져라!,One for All!,全都拿走吧!,
honorTitle11_5,大정기술사,Elemental Meister,大元素使,
honorTitle12_1,,,,
honorTitle12_2,,,,
honorTitle12_3,인맥 관리,Idol,人脈管理,
honorTitle12_4,인생 컨설팅,Consultant,人生諮詢,
honorTitle12_5,글로벌 대스타,Superstar,世界巨星,
honorTitle13_1,,,,
honorTitle13_2,,,,
honorTitle13_3,심심한,Bored!!!,無聊的,
honorTitle13_4,,,,
honorTitle13_5,,,,
honorTitle14_1,,,,
honorTitle14_2,,,,
honorTitle14_3,,,,
honorTitle14_4,,,,
honorTitle14_5,,,,
honorTitle15_1,,,,
honorTitle15_2,,,,
honorTitle15_3,,,,
honorTitle15_4,,,,
honorTitle15_5,,,,
honorTitle16_1,,,,
honorTitle16_2,,,,
honorTitle16_3,반짝반짝,Glittering,閃耀燦爛,
honorTitle16_4,물광피부,BlingBling,光澤皮膚,
honorTitle16_5,우윳빛깔,Sparkling,雪白色,
honorTitle17_1,,,,
honorTitle17_2,,,,
honorTitle17_3,치명적매력,Critical charm,致命魅力,
honorTitle17_4,,,,
honorTitle17_5,핵꿀밤,Nuke Punch,核拳 ,
honorTitle18_1,,,,
honorTitle18_2,,,,
honorTitle18_3,,,,
honorTitle18_4,,,,
honorTitle18_5,,,,
honorTitle19_1,,,,
honorTitle19_2,,,,
honorTitle19_3,,,,
honorTitle19_4,,,,
honorTitle19_5,어둠의 지배자,Lord of Darkness,黑暗的統治者,
honorTitle2_1,,,,
honorTitle2_2,,,,
honorTitle2_3,위기에 강한,Nuke Noob,臨危感超強,
honorTitle2_4,겁 없는 승부사,Fearless,無畏的賭徒,
honorTitle2_5,금강불괴,Stainless,金剛不壞,
honorTitle20_1,,,,
honorTitle20_2,,,,
honorTitle20_3,,,,
honorTitle20_4,,,,
honorTitle20_5,,,,
honorTitle21_1,,,,
honorTitle21_2,,,,
honorTitle21_3,알부자,Greedy,龍蛋富翁,
honorTitle21_4,수집가,Collector,收集者,
honorTitle21_5,전설의 수집가,Legendary Collector,傳奇收集者,
honorTitle22_1,,,,
honorTitle22_2,,,,
honorTitle22_3,,,,
honorTitle22_4,,,,
honorTitle22_5,전설의 테이머,Legendary Tamer,傳奇馴龍者,
honorTitle23_1,,,,
honorTitle23_2,,,,
honorTitle23_3,,,,
honorTitle23_4,,,,
honorTitle23_5,,,,
honorTitle24_1,,,,
honorTitle24_2,,,,
honorTitle24_3,,,,
honorTitle24_4,,,,
honorTitle24_5,카드캡쳐,Card Collector,卡牌收集,
honorTitle25_1,,,,
honorTitle25_2,,,,
honorTitle25_3,,,,
honorTitle25_4,,,,
honorTitle25_5,,,,
honorTitle3_1,,,,
honorTitle3_2,,,,
honorTitle3_3,백전불패,New Challenger,百戰百勝,
honorTitle3_4,사선의 존재,Champion,不滅的存在,
honorTitle3_5,일기당천,Legend,一氣當天,
honorTitle4_1,,,,
honorTitle4_2,,,,
honorTitle4_3,싸우면서 친해지는,Bully,小流氓,
honorTitle4_4,골목대장,Big Bully,小壞蛋,
honorTitle4_5,골목의 지배자,Big Bad Bully,小霸王,
honorTitle5_1,,,,
honorTitle5_2,,,,
honorTitle5_3,필승의 저력,Mighty,勝利的力量,
honorTitle5_4,임전무퇴,BraveHeart,有進無退,
honorTitle5_5,불사신,Undying,不朽,
honorTitle6_1,,,,
honorTitle6_2,,,,
honorTitle6_3,베테랑,Veteran,老練的高手,
honorTitle6_4,전쟁광,War Maniac,戰爭狂,
honorTitle6_5,파괴를 부르는,War,破滅引導者,
honorTitle7_1,,,,
honorTitle7_2,,,,
honorTitle7_3,전쟁용사,Warrior,戰爭勇士,
honorTitle7_4,필승의 지휘관,War Lord,戰鬥指揮官,
honorTitle7_5,전쟁의 신,War God,戰神,
honorTitle8_1,,,,
honorTitle8_2,,,,
honorTitle8_3,약점 공략가,Tactician,弱點戰術家,
honorTitle8_4,매복 책략가,Trap Meister,埋伏策略家,
honorTitle8_5,전설의 트래퍼,Ninja!,傳奇的戰術大師,
honorTitle9_1,,,,
honorTitle9_2,,,,
honorTitle9_3,냉혹한 검투사,Grim Warrior,冷酷的角鬥士,
honorTitle9_4,정복자,Slayer,征服者,
honorTitle9_5,전장의 지배자,Conqueror,戰場武神,
