TID,KR,EN,CN,JP,PLD,TW,IND
guild_buf_upgrade,업그레이드 되었습니다.,Upgrade Complete.,업그레이드 되었습니다.,업그레이드 되었습니다.,Ulepszanie zakończono!.,已升級.,업그레이드 되었습니다.
guild_manage_invite_send,길드에 초대하시겠습니까?,Invite to Guild?,길드에 초대하시겠습니까?,길드에 초대하시겠습니까?,Zaprosić do Gildii?,想邀請到行會嗎?,길드에 초대하시겠습니까?
guild_manage_invite_send2,길드에 초대하였습니다.,Invitation to Guild has been sent.,길드에 초대하였습니다.,길드에 초대하였습니다.,Zaproszenie do Gildii zostało wysłane.,已邀請到了行會.,길드에 초대하였습니다.
guild_manage_reject,길드 초대를 거절하시겠습니까?,Refuse Guild invitation?,길드 초대를 거절하시겠습니까?,길드 초대를 거절하시겠습니까?,Odrzucić zgłoszenie?,想拒絕行會的邀請嗎?,길드 초대를 거절하시겠습니까?
guild_manage_join_reject,길드 가입 신청을 거절하시겠습니까?,Refuse Guild jon?,길드 가입 신청을 거절하시겠습니까?,길드 가입 신청을 거절하시겠습니까?,,,길드 가입 신청을 거절하시겠습니까?
guild_manage_reject2,길드 초대를 거절하였습니다.,Guild invitation has been refused.,길드 초대를 거절하였습니다.,길드 초대를 거절하였습니다.,Odrzucono.,拒絕了行會的邀請.,길드 초대를 거절하였습니다.
guild_manage_accept,길드 초대를 수락하시겠습니까?,Accept Guild invitation?,길드 초대를 수락하시겠습니까?,길드 초대를 수락하시겠습니까?,Akceptować zgłoszenie dołączenia do Gildii?,接受行會的邀請嗎?,길드 초대를 수락하시겠습니까?
guild_manage_accept2,길드 초대를 수락하였습니다.,Guild invitation has been accepted.,길드 초대를 수락하였습니다.,길드 초대를 수락하였습니다.,Zaakceptowano zgłoszenie.,接受了行會的邀請.,길드 초대를 수락하였습니다.
guild_manage_leave,길드를 탈퇴하시겠습니까?,Leave current Guild?,길드를 탈퇴하시겠습니까?,길드를 탈퇴하시겠습니까?,Na pewno chcesz opuścić obecną Gildię?,要退出行會嗎?,길드를 탈퇴하시겠습니까?
guild_manage_leave2,정상적으로 탈퇴되었습니다.,You have left the Guild.,정상적으로 탈퇴되었습니다.,정상적으로 탈퇴되었습니다.,Opuszczono Gildię.,正常退出.,정상적으로 탈퇴되었습니다.
guild_manage_out,[%s]을(를) 퇴출시키겠습니까?,,[%s]을(를) 퇴출시키겠습니까?,[%s]을(를) 퇴출시키겠습니까?,,,[%s]을(를) 퇴출시키겠습니까?
guild_search,길드검색,Search Guild,길드검색,길드검색,Szukaj Gildii,搜索行會,길드검색
guild_join_empty,길드 미가입,No Guild Affiliation,길드 미가입,길드 미가입,Nie przynależy do żadnej Gildii,未加入行會,길드 미가입
guild_join_wait,가입 대기중,Waiting to Join a Guild,가입 대기중,가입 대기중,Czeka na dołączenie do Gildii,等待加入中,가입 대기중
guild_join_accept,수락 대기중,Waiting for Approval,수락 대기중,수락 대기중,Czeka na potwierdzenie.,等待接受中,수락 대기중
guild_popup_upgrade,업그레이드,Upgrade,업그레이드,업그레이드,Ulepszenie,升級,업그레이드
guild_popup_join,길드 가입,Join Guild,길드 가입,길드 가입,Dołącz do Gildii,加入行會,길드 가입
guild_popup_create,길드 생성,Create Guild,길드 생성,길드 생성,Stwórz Gildię,建立行會,길드 생성
guild_popup_name,길드명,Guild Name,길드명,길드명,Nazwa Gildii,行會名,길드명
guild_popup_info,길드 정보,Guild Info,,,,,
guild_popup_introduction,길드 소개,Introduction,,,,,
guild_popup_request,가입 신청,Join Guild,,,,,
guild_popup_staff,길드원,Member,,,,,
guild_popup_buf_comment,버프가 업그레이드 되었습니다!,Buff has been upgraded.,버프가 업그레이드 되었습니다.,버프가 업그레이드 되었습니다.,Buff został ulepszony.,增益效果升級完成.,버프가 업그레이드 되었습니다.
guild_popup_join_comment,길드에 가입했습니다.,You have joined a Guild.,길드에 가입했습니다.,길드에 가입했습니다.,Dołączono do Gildii.,已加入行會.,길드에 가입했습니다.
guild_popup_create_comment,길드가 생성 되었습니다.,You have created a Guild.,길드가 생성 되었습니다.,길드가 생성 되었습니다.,Stworzono nową Gildię.,已建立行會.,길드가 생성 되었습니다.
guild_popup_buf_upgrade,업그레이드 하시겠습니까?,Do you want to upgrade?,업그레이드 하시겠습니까?,업그레이드 하시겠습니까?,Chcesz ulepszyć?,要升級嗎?,업그레이드 하시겠습니까?
guild_popup_buf_digit,버프효과,Buff Effect,버프효과,버프효과,Buff Efekt,增益,버프효과
guild_main_my_guild,내 길드,My Guild,내 길드,내 길드,Moja Gildia,我的行會,내 길드
guild_main_all_guild,전체 길드,All Guilds,전체 길드,전체 길드,Wszystkie Gildie,全部行會,전체 길드
guild_main_fight,길드 아레나,Siege Warfare,공성전,공성전,Oblężenie,攻城戰,공성전
guild_menu_title_buff,길드 버프,Guild Buff,,,,,
guild_menu_title_board,길드 게시판,Guild Board,,,,,
guild_menu_title_shop,길드 상점,Guild Shop,,,,,
guild_menu_title_mission,길드 미션,Guild Mission,,,,,
guild_main_join_x,가입한 길드가 없습니다.,You have not joined any Guild.,가입한 길드가 없습니다.,가입한 길드가 없습니다.,Nie należysz do żadnej Gildii.,加入的行會不不存在.,가입한 길드가 없습니다.
guild_main_guild_member,길드원 %d명,Guild Members: %d,길드원 %d명,길드원 %d명,Członkowie Gildii: %d,行會員 %d名,길드원 %d명
guild_main_join_ing,길드 가입 중...,Joining Guild...,길드 가입 중...,길드 가입 중...,Dołączanie do Gildii...,加入行會中...,길드 가입 중...
guild_main_join_invite,길드에 초대받았습니다.,You have been invited to a Guild.,길드에 초대받았습니다.,길드에 초대받았습니다.,Zostałeś zaproszony do Gildii.,行會提出了邀請.,길드에 초대받았습니다.
guild_main_ranking,랭킹 %d위,Rank: %d,랭킹 %d위,랭킹 %d위,Pozycja: %d,排名 %d位,랭킹 %d위
guild_main_join_info,길드에 가입하세요.,Join a Guild.,길드에 가입하세요.,길드에 가입하세요.,Dołącz do Gildii.,請加入行會.,길드에 가입하세요.
guild_main_menu,길드 메뉴,Guild Menu,길드 메뉴,길드 메뉴,Menu Gildii,行會菜單,길드 메뉴
guild_main_cancel,가입 취소,Cancel Membership,가입 취소,가입 취소,Anuluj Członkostwo,取消加入,가입 취소
guild_main_reject,거절,Refuse,거절,거절,Odmów,拒絕,거절
guild_main_guild_ranking,길드 랭킹,Guild Rank,길드 랭킹,길드 랭킹,Pozycja Gildii,行會排名,길드 랭킹
guild_main_guild_cannot,참여 불가,Cannot Join,참여 불가,참여 불가,Nie można dołączyć do Gildii,無法參加,참여 불가
guild_manage_member_upgrade,[%s]을(를) 운영진으로\n위임하겠습니까?,Appoint [%s]\nas Guild Manager?,[%s]을(를) 운영진으로\n위임하겠습니까?,[%s]을(를) 운영진으로\n위임하겠습니까?,Wyznaczyć [%s]\n na menadżera Gildii?,要把[%s]委任為運營者\n嗎?,[%s]을(를) 운영진으로\n위임하겠습니까?
guild_manage_member_downgrade,[%s]의 운영진 자격을\n박탈하겠습니까?,Cancel [%s]'s\nGuild Manager appointment?,[%s]의 운영진 자격을\n박탈하겠습니까?,[%s]의 운영진 자격을\n박탈하겠습니까?,Odebrać [%s]'s\n tytuł Menadżera Gildii?,[%s]的運營者資格嗎?,[%s]의 운영진 자격을\n박탈하겠습니까?
guild_manage_member_moveComplete,[%s]을(를) 운영진으로\n위임하였습니다.,[%s] has been appointed\nas Guild Manager.,[%s]을(를) 운영진으로\n위임하였습니다.,[%s]을(를) 운영진으로\n위임하였습니다.,[%s] został wyznaczony\nna Menadżera Gildii.,已把[%s]委任為運營者.,[%s]을(를) 운영진으로\n위임하였습니다.
guild_manage_member_moveComplete2,[%s]의 운영진 자격을\n박탈하였습니다.,[%s]'s Guild Manager\nappointment has been canceled.,[%s]의 운영진 자격을\n박탈하였습니다.,[%s]의 운영진 자격을\n박탈하였습니다.,[%s]'s już nie jest\nMenadżerem Gildii.,剝奪了[%s]運營者的資格\n.,[%s]의 운영진 자격을\n박탈하였습니다.
guild_manage_member_give_master,길드장 직책을 위임하시겠습니까?,Transfer Guild Master position to another member?,길드장 직책을 위임하시겠습니까?,길드장 직책을 위임하시겠습니까?,Nadać tytuł Mistrza Gildii innemu członkowi?,要委任行會長的職責嗎?,길드장 직책을 위임하시겠습니까?
guild_manage_member_give_master2,길드장 직책을 위임하였습니다.,Guild Master position has been transferred.,길드장 직책을 위임하였습니다.,길드장 직책을 위임하였습니다.,Tytuł Mistrza Gildii został nadany.,已委任行會長的職責.,길드장 직책을 위임하였습니다.
guild_manage_myself,자기 자신을 선택했습니다.,You have selected yourself.,자기 자신을 선택했습니다.,자기 자신을 선택했습니다.,Wybrałeś siebie.,選擇了自己.,자기 자신을 선택했습니다.
guild_search_name,길드명이 너무 짧습니다.,That Guild Name is too short.,길드명이 너무 짧습니다.,길드명이 너무 짧습니다.,Nazwa Gildii jest za krótka.,行會名太短了.,길드명이 너무 짧습니다.
guild_master_leave,"길드장은 탈퇴 할 수 없습니다.\n \n길드장을 위임하거나,\n길드원이 없을 시 탈퇴가 가능합니다.","Guild Master cannot leave the Guild.\n \nYou must transfer Guild Master position,\nor there must be no members in the Guild.","길드장은 탈퇴 할 수 없습니다.\n \n길드장을 위임하거나,\n길드원이 없을 시 탈퇴가 가능합니다.","길드장은 탈퇴 할 수 없습니다.\n \n길드장을 위임하거나,\n길드원이 없을 시 탈퇴가 가능합니다.","Mistrz Gildii nie może opuścić Gildii.\n \nMusisz nadac komuś innemu swój tytuł,\nalbo w Gildii nie może być żadnych członków.","行會長不能撤退.\n \n委任行會長或,\n沒有行會人員時才可以撤退.","길드장은 탈퇴 할 수 없습니다.\n \n길드장을 위임하거나,\n길드원이 없을 시 탈퇴가 가능합니다."
guild_master_leave2,탈퇴 시 길드가 자동으로 해체됩니다.\n길드를 탈퇴하시겠습니까?,Guild will be closed automatically when you leave.\nDo you want to leave the Guild?,탈퇴 시 길드가 자동으로 해체됩니다.\n길드를 탈퇴하시겠습니까?,탈퇴 시 길드가 자동으로 해체됩니다.\n길드를 탈퇴하시겠습니까?,"Gildia zostanie zamknieta automatycznie, jeśli ją opuścisz.\nChcesz opuścić Gildię?",退出時行會會自動解除.\n要退出行會嗎?,탈퇴 시 길드가 자동으로 해체됩니다.\n길드를 탈퇴하시겠습니까?
guild_board_title,제 목,Title,제 목,제 목,Tytuł,標題,제 목
guild_board_title2,제목을 입력하세요.,Enter Title.,제목을 입력하세요.,제목을 입력하세요.,Wpisz Tytuł.,請輸入標題.,제목을 입력하세요.
guild_board_write,작성하기,Write,작성하기,작성하기,Napisz,製作,작성하기
guild_board_close,닫기,Close,关闭,Close,Zamknij,關閉,Close
guild_board_number,번호,No.,번호,번호,Nie.,號碼,번호
guild_board_name,작성자,Author,작성자,작성자,Autor,製作者,작성자
guild_board_date,등록일,Date,등록일,등록일,Data,登入日,등록일
guild_storage_log,사용 기록,Usage Record,사용 기록,사용 기록,Zapis zużycia,使用記錄,사용 기록
guild_storage_date,날 짜,Date,날 짜,날 짜,Data,日期,날 짜
guild_storage_max_count,최대 %d개씩 보관 가능합니다.,Archive available maximum %d,최대 %d개씩 보관 가능합니다.,최대 %d개씩 보관 가능합니다.,,최대 %d개씩 보관 가능합니다.,최대 %d개씩 보관 가능합니다.
guild_storage_max_count2,최대 %d개씩 찾을 수 있습니다.,Take out available maximum %d,최대 %d개씩 찾을 수 있습니다.,최대 %d개씩 찾을 수 있습니다.,,최대 %d개씩 찾을 수 있습니다.,최대 %d개씩 찾을 수 있습니다.
guild_board_notie,공 지,Notice,공 지,공 지,Ogłoszenie,公 告,공 지
guild_board_notie2,[공지],[Notice],[공지],[공지],[Ogłoszenie],[公告],[공지]
guild_board_notie3,공지가 없습니다.,There is no Notice.,공지가 없습니다.,공지가 없습니다.,Nie ma żadnego ogłoszenia.,沒有公告.,공지가 없습니다.
guild_board_title_empty,제목을 입력하세요.,Enter Title.,제목을 입력하세요.,제목을 입력하세요.,Wpisz Tytuł.,請輸入標題.,제목을 입력하세요.
guild_board_main_empty,내용을 입력하세요.,Enter message.,내용을 입력하세요.,내용을 입력하세요.,Wpisz wiadomość.,請輸入內容.,내용을 입력하세요.
guild_board_write_q,글을 작성하시겠습니까?,Do you want to post a message?,글을 작성하시겠습니까?,글을 작성하시겠습니까?,Chcesz opublikować wiadomość?,要製作內容嗎?,글을 작성하시겠습니까?
guild_board_write2_a,글을 작성했습니다.,Message has been posted.,글을 작성했습니다.,글을 작성했습니다.,Twoja wiadomośc została opublikowana.,已製作內容.,글을 작성했습니다.
guild_board_write3,글을 더 이상 작성할 수 없습니다.,Cannot post any more message.,글을 더 이상 작성할 수 없습니다.,글을 더 이상 작성할 수 없습니다.,Nie można dodać nowych wiadomości.,無法在進行內容的製作.,글을 더 이상 작성할 수 없습니다.
guild_board_prevent,제목 또는 글에\n부적절한 내용이 포함되어 있습니다.,The title or message\ncontains inappropriate words.,제목 또는 글에\n부적절한 내용이 포함되어 있습니다.,제목 또는 글에\n부적절한 내용이 포함되어 있습니다.,Tytuł lub wiadomość zawierają\n brzydkie słowa.,標題或文字中\n存在不妥的內容.,제목 또는 글에\n부적절한 내용이 포함되어 있습니다.
guild_create_prevent,길드명 또는 소개글에\n부적절한 내용이 포함되어 있습니다.,Guild name or Introduction\ncontains inappropriate words.,길드명 또는 소개글에\n부적절한 내용이 포함되어 있습니다.,길드명 또는 소개글에\n부적절한 내용이 포함되어 있습니다.,,길드명 또는 소개글에\n부적절한 내용이 포함되어 있습니다.,길드명 또는 소개글에\n부적절한 내용이 포함되어 있습니다.
guild_create_same_name,동일한 이름의 길드가 존재합니다.,This Guild name is already in using,동일한 이름의 길드가 존재합니다.,동일한 이름의 길드가 존재합니다.,,동일한 이름의 길드가 존재합니다.,동일한 이름의 길드가 존재합니다.
guild_board_delete_q,글을 삭제하시겠습니까?,Delete message?,글을 삭제하시겠습니까?,글을 삭제하시겠습니까?,Usunąć wiadomość?,要刪除內容嗎?,글을 삭제하시겠습니까?
guild_board_delete2_a,글을 삭제했습니다.,Message has been deleted.,글을 삭제했습니다.,글을 삭제했습니다.,Wiadomość usunięta.,已刪除內容.,글을 삭제했습니다.
guild_mission_giveup,미션을 포기하시겠습니까?,Give up mission?,미션을 포기하시겠습니까?,미션을 포기하시겠습니까?,Odpuszczasz tę misję?,要放棄做任務嗎?,미션을 포기하시겠습니까?
guild_mission_complete_msg,미션을 완료하시겠습니까?\n미션을 완료하면 재료들이 사라집니다.,Do you want complete a mission?\nMaterials will removed after completion,미션을 완료하시겠습니까?,미션을 완료하시겠습니까?\n미션을 완료하면 재료들이 사라집니다.,,要終止任務嗎?,미션을 완료하시겠습니까?\n미션을 완료하면 재료들이 사라집니다.
guild_mission_drop_monster,%s에서\n랜덤 확률로 만날 수 있다.,"Can be seen randomly\nin ""%s"".",%s에서\n랜덤 확률로 만날 수 있다.,%s에서\n랜덤 확률로 만날 수 있다.,"Może zostać odnaleziony losowo\nw ""%s"".","""%s""中\n已隨機的概率碰面.",%s에서\n랜덤 확률로 만날 수 있다.
guild_mission_raid,길드 레이드는 추후 업데이트됩니다.,Guild Raid will be updated at later date.,길드 레이드는 추후 업데이트됩니다.,길드 레이드는 추후 업데이트됩니다.,RAID Gildii będzie zaktualizowany niedługo.,行會的Raid稍後會更新.,길드 레이드는 추후 업데이트됩니다.
guild_mission_time_short,다이아 1개를 사용해서 10분을 단축합니다.,Reduce 10 minutes by using 1 Diamond.,다이아 1개를 사용해서 10분을 단축합니다.,다이아 1개를 사용해서 10분을 단축합니다.,Zmniejsz czas oczekiwania o 10 minut przez użycie 1 Diamentu.,使用行會的一顆鑽石來縮短60分鐘.,다이아 1개를 사용해서 10분을 단축합니다.
guild_suggest_empty,추천길드가 없습니다.,There is no Recommended Guild.,추천길드가 없습니다.,추천길드가 없습니다.,Nie ma Rekomendowanych Gildii.,推薦的行會不存在.,추천길드가 없습니다.
guild_buf_help,업그레이드를 위한\n도움을 주시겠습니까?,Do you want to help\nfor upgrade?,업그레이드를 위한\n도움을 주시겠습니까?,업그레이드를 위한\n도움을 주시겠습니까?,Chcesz pomóc\nw ulepszaniu?,能給予我們關於升級\n的幫助嗎?,업그레이드를 위한\n도움을 주시겠습니까?
guild_buf_today_already,오늘은 이미 도움을 주셨습니다.,You already helped today.,오늘은 이미 도움을 주셨습니다.,오늘은 이미 도움을 주셨습니다.,Już dziś się napomagałeś ;),今天已經幫助我們了.,오늘은 이미 도움을 주셨습니다.
guild_buf_help_success,버프에 도움을 주었습니다.,You have helped the Buff.,버프에 도움을 주었습니다.,버프에 도움을 주었습니다.,Pomogłeś z Buffem.,對增益效果有幫助.,버프에 도움을 주었습니다.
guild_buf_help_full,이미 도움 수치가 가득 찼습니다.,Your Help Gauge is already full.,이미 도움 수치가 가득 찼습니다.,이미 도움 수치가 가득 찼습니다.,Pomóż Gildii! Twój wskaźnik pomocy jest pełny!,幫助的數值已經滿了.,이미 도움 수치가 가득 찼습니다.
guild_no_cash,루비가 부족합니다.,Not enough Ruby,루비가 부족합니다.,루비가 부족합니다.,Nie ma wystarczającej ilości Rubinów.,紅寶石數目不足.,루비가 부족합니다.
guild_name_long,길드 이름이 너무 깁니다,Guild name too long,길드 이름이 너무 깁니다,길드 이름이 너무 깁니다,Nazwa Gildii za długa.,公會名guo长,길드 이름이 너무 깁니다
guild_member_leave,해당 유저는\n길드 가입 신청을 취소했습니다.,User has cancelled application to guild \n.,해당 유저는\n길드 가입 신청을 취소했습니다.,해당 유저는\n길드 가입 신청을 취소했습니다.,Uzytkownik anulował swoją kandydaturę do Gildii. \n.,該用戶\n取消了公會加入申請.,해당 유저는\n길드 가입 신청을 취소했습니다.
guild_member_leave2,이미 길드원으로 가입 되었습니다.,Already registered as guild member.,이미 길드원으로 가입 되었습니다.,이미 길드원으로 가입 되었습니다.,Już jest zarejestrowany jako członek Gildii.,成功加入公會.,이미 길드원으로 가입 되었습니다.
guild_board_empty,제목 또는 내용에\n공백이 있습니다.,Title or content has \n spaces.,제목 또는 내용에\n공백이 있습니다.,제목 또는 내용에\n공백이 있습니다.,Tytuł posiada \n spacje.,題目或者內容\n不可以有空白.,제목 또는 내용에\n공백이 있습니다.
guild_manage_out2,퇴출이 완료되었습니다.,Ban complete.,퇴출이 완료되었습니다.,퇴출이 완료되었습니다.,Zbanowano.,已成功tuichu.,퇴출이 완료되었습니다.
guild_buf_strcat,%s %s,%s %s,%s %s,%s %s,%s %s,%s %s,%s %s
guild_storage_empty,아이템이 존재하지 않습니다.,Item does not exist.,아이템이 존재하지 않습니다.,아이템이 존재하지 않습니다.,Ten przedmiot nie istnieje.,不存在該daoju.,아이템이 존재하지 않습니다.
guild_shop_already,오늘은 이미 구매하셨습니다.,You have purchased today already.,오늘은 이미 구매하셨습니다.,오늘은 이미 구매하셨습니다.,Już dzisiaj cos kupiłeś.,今日購買guo.,오늘은 이미 구매하셨습니다.
guild_shop_already2,이번달은 이미 구매하셨습니다.,You have purchased this month already.,이번달은 이미 구매하셨습니다.,이번달은 이미 구매하셨습니다.,Już dzisiaj cos kupiłeś.,今日購買guo.,이번달은 이미 구매하셨습니다.
guild_shop_cannot_buy,전 단계의 알을 구매해야\n구매할 수 있습니다.,You must complete previous level egg to purchase \n.,구매할 수 없습니다.,전 단계의 알을 구매해야\n구매할 수 있습니다.,Musisz dobić poprzedni lvl jaja aby je zamówić. \n.,[請先購買上個階段的龍蛋，再購買\n.,전 단계의 알을 구매해야\n구매할 수 있습니다.
guild_buf_initialize,모든 버프를 초기화 하시겠습니까?,Reset all buffs?,모든 버프를 초기화 하시겠습니까?,모든 버프를 초기화 하시겠습니까?,Zresetować wszystkie Buffy?,要y初始化所有的增益效果麼?,모든 버프를 초기화 하시겠습니까?
guild_buf_point_empty,포인트가 부족합니다.,Not enough point.,포인트가 부족합니다.,포인트가 부족합니다.,Nie wystarczająca liczba punktów.,積分數目不足.,포인트가 부족합니다.
guild_arena_word1,아레나 순위,Arena Ranking,,,,,
guild_arena_word2,아레나 기록,Arena Record,,,,,
guild_arena_word3,아레나 투입,Join Arena,,,,,
guild_arena_word4,아레나 점수,Arena Score,,,,,
guild_arena_word5,아레나 결과,Area Results,,,,,
guild_arena_word6,길드 아레나 점수,Guild Arena Score,,,,,
guild_arena_word7,내 아레나 점수,My Arena Score,,,,,
guild_arena_word8,전투 횟수 : %d/3회,Battle Count : %d/3,,,,,
guild_arena_word9,보상 목록,Reward List,,,,,
guild_arena_word10,보상 받기,Receive Reward,,,,,
guild_arena_word11,전투 시간,Battle Time,,,,,
guild_arena_word12,입장가능 시간\n12:00 ~ 24:00,Open Time\n12:00 ~ 24:00,,,,,
guild_arena_word13,* 보상받기 시간 00:00 ~ 12:00,* Reward Time 00:00 ~ 12:00,,,,,
guild_arena_word14,%d분 %d초,%dm %ds,,,,,
guild_arena_msg1,전투 참여 횟수를 초기화 하시겠습니까?\n(다이아 5개 소모),Reset battle count? \n (Costs 5 Diamonds),,,,,
guild_arena_msg2,전투 가능 횟수가 부족합니다.\n잠시 후 다시 시도해주세요.,Battle count max reached.\nPlease come back later.,,,,,
guild_arena_msg3,전투 참여 시간이 아닙니다.\n잠시 후 다시 시도해주세요.,Arena is no open yet. \nPlease try again later.,,,,,
guild_arena_msg4,전투 참여 기록이 없습니다.\n잠시 후 다시 시도해주세요.,No battle records. \nPlease try again later.,,,,,
guild_arena_msg5,보상 지급 시간이 아닙니다.\n잠시 후 다시 시도해주세요.,It's not time for rewards yet. \nPlease try again later.,,,,,
guild_arena_msg6,전투 가능 횟수가 있습니다.,Battle count is available.,,,,,
guild_arena_msg7, '%s'아이템을 사용하시겠습니까?\n보유량 : %d,Would you like to use ‘%s’?\nPossession:%d,,,,,
guild_arena_reward1,골드,Gold,,,,,
guild_arena_reward2,젬,Gem,,,,,
guild_arena_reward3,카드,Card,,,,,
guild_arena_reward4,드래곤 알조각,Dragon Egg piece,,,,,
guild_arena_reward_msg1,길드 아레나 보상을 선택하세요.,Select Reward.,,,,,
guild_arena_reward_msg2,%d 골드를 획득 하였습니다.,Received %d Gold.,,,,,
guild_arena_reward_msg3,%s를 획득 하였습니다.,Received %s.,,,,,
guild_arena_reward_msg4,알조각을 획득 하였습니다.,Received Egg piece,,,,,
guild_arena_reward_msg5,속성카드를 획득 하였습니다.,Received Attribute Card.,,,,,
guild_arena_reward_msg6,점수 %s 이상,Score over %s,,,,,
guild_arena_reward_msg7,내 아레나 보상을 선택하세요.,Select Reward.,,,,,
quitGame,게임 종료,Quit game,結束遊戲,Quit Game,Wyjdź z gry,結束遊戲,Quit Game
wouldYouQuit,드래곤빌리지를 종료하시겠습니까?,Would you like to quit Dragon Village?,您想退出神龍部落吗？,Would you like to quit DragonVillage?,Chcesz wyjśc z gry?,您想退出神龍部落吗？,Would you like to quit DragonVillage?
sky_palace_move_down,지하로 이동,Move to underground,,,,向地下yidong,
sky_palace_btn_pull,정령뽑기,Spirit draw,,,,選擇精靈,
sky_palace_btn_enhan,정령강화,Enhance Spirit,,,,強化精靈,
sky_palace_btn_evol,정령진화,Evolve Spirit,,,,精靈進化,
sky_palace_btn_book,정령도감,Spirit book,,,,精靈圖鑒,
sky_palace_pull_normal,일반뽑기,NORMAL DRAW,,,,普通選擇,
sky_palace_pull_high,고급뽑기,ADVANCED DRAW,,,,高級選擇,
sky_palace_pull_prem,최고급뽑기,PREMIUM DRAW,,,,,
sky_palace_pullcost_normal,디바인스톤 %d,Divine Stone %d,,,,神石 %d,
sky_palace_pullcost_high,다이아 %d,Dia %d,,,,鑽石 %d,
sky_palace_pullcost_prem,황금다이아 %d,GoldDia %d,,,,,
sky_palace_enhan_text,강화하기,Enhance,,,,強化,
sky_palace_grade_warning,재료의 등급이 주 대상보다 높습니다.\n정말 진행하시겠습니까?,Material spirit is at higher grade than main spirit.\nDo you really want to proceed?,,,,,
sky_palace_retain_text,보유한 정령,Spirits owned,,,,現有精靈,
sky_palace_material_text,재료 %d/%d,materials %d/%d,,,,材料 %d/%d,
sky_palace_warning_enhan,강화 5단계 정령입니다.,Enhance level 5 Spirit.,,,,強化到第5階段的jingling.,
sky_palace_enhan_full,선택된 정령의 개수가 꽉 찼습니다.,Number of selected Spirits full.,,,,選擇的精靈數已滿.,
spirit_popup_ok_1,장착,Equip,,,,裝備,
spirit_popup_ok_2,선택,Select,,,,選擇,
spirit_popup_cancel,닫기,Cancel,,,,關閉,
spirit_evol_error_enhan,진화하기 위한 강화단계가 부족합니다.,Not enough enhance grade for evolution,,,,進化前強化階段準備不足.,
spirit_evol_error_level,진화하기 위한 레벨이 부족합니다.,Not enough level for evolution,,,,等級不足無法jinhua.,
spirit_evol_error_both,진화하기 위한 레벨과 강화단계가 부족합니다.,Not enough enhance grade and level for evolution,,,,等級和進化等級不足,
spirit_evol_error2_degree,두 정령의 등급이 다릅니다.,Both Spirits have different grades,,,,兩隻精靈的等級不同.,
spirit_evol_error2_element,두 정령의 속성이 다릅니다.,Both Spirits have different elements,,,,兩隻精靈的屬性不同.,
spirit_evol_error2_both,두 정령의 등급과 속성이 다릅니다.,Both Spirits have different grades and elements,,,,兩隻精靈的等級和屬性都不同.,
spirit_evol_text,진화하기,Evolve,,,,開始進化,
spirit_evol_cond,"진화조건 : 강화 단계5, 최대레벨, 같은등급, 같은 속성","Evolution condition : Enhance grade 5, Maximum level, same grade, same elements",,,,"進化條件：達到第5強化階段，最高等級，同一等級 进化条件 : 强化阶段5, 最大等级, 同一等级, 相同属性",
spirit_targetcell_text,장착중,In equipment,,,,裝備中,
bg_sky_mine,광산,Mines,,,,礦山,
mine_floor,%d층,%d floors,,,,%d層,
mine_btn1,길드\n랠리 포인트,Guild\nRally point,,,,公會\n對戰積分,
mine_btn2,길드\n장악층,Guild\nRuled floor,,,,公會\n佔領層,
mine_btn3,최하 층,Bottom floor,,,,最下層,
mine_tab1,개인,Personal,,,,个人,
mine_tab2,길드,Guild,,,,公會,
mine_vote_btn1,입찰,Bidding,,,,競標,
mine_vote_btn2,입찰하기,Bid,,,,開始競標,
mine_contri_btn1,투입,Insert,,,,投入,
mine_contri_btn2,공사하기,Confirm,,,,開始工程,
mine_contri_title,%d층 통로공사 정보,%d floor information,,,,%d層的公路工程信息,
mine_cur_contri,현재 기여도,Contributiveness,,,,當前貢獻數,
mine_contribution,공사 기여도 : %d점,contributiveness : %d,,,,施工貢獻度 : %ddian,
mine_rank,순위,Rank,,,,順序,
mine_mineral_title,%d층 채광 정보,%dfloor information,,,,%d層的採礦xinxi,
mine_vote_popup_title,해당 층의 채굴권을 획득하기 위해\n입찰하시겠습니까?,Do you want bid for getting mineral rights?,,,,為獲得該層的採礦權要參加\n競標ma?,
mine_vote_target_msg,%d위까지 필요한 예상 수량 : %d개,Expected amount to %d place : %d,,,,%d位為止預計需要的數量是 : %d個,
mine_contri_popup_title,통로 공사에 투입할 자재수량을\n결정해주세요.,Please decide amount of material\nfor passage contruction,,,,請確認需要投入工程中的材料數量\n.,
mine_raid_popup_title,레이드에 참여 하시겠습니까?,Do you want to participate Raid?,,,,要參加副本戰鬥麼?,
mine_raid_title,전투 기여도,Battle contributiveness,,,,戰鬥貢獻度,
totaldamage,총 데미지,Total damage,,,,戰鬥造成總傷害,
mine_raid_btn,전투하기,Let's battle,,,,開始戰鬥,
mine_vote_time,다음 개표까지 시간,Next,,,,下個競標結果公佈時間,
mine_today_mineral,익일 채굴량,Daily output,,,,翌日采矿量,
mine_remain_mineral1,잔여 매장량,Reserve,,,,剩餘儲藏量,
mine_remain_mineral2,남은 매장량:,Reserve,,,,剩餘儲藏量,
mine_mineral_amount4,풍부,High,,,,充足,
mine_mineral_amount3,보통,Normal,,,,普通,
mine_mineral_amount2,부족,Lack,,,,不足,
mine_mineral_amount1,고갈,Exhaustion,,,,缺乏,
